headings_match,orig_heading,aLabel,loc_id,category,url,talk_title,talk_date,order_in_day,is_speaker,display_name
True,"Bobo, Lawrence","Bobo, Lawrence",n85048499,PERSONAL_NAME,http://id.loc.gov/authorities/n85048499,A Failure to Heal: Race and Politics in the United States,2020-11-11,1,True,Lawrence D. Bobo
False,Race--Political aspects--United States,,,TOPIC,,A Failure to Heal: Race and Politics in the United States,2020-11-11,1,False,
True,"Fauci, Anthony S., 1940-","Fauci, Anthony S., 1940-",n82011496,PERSONAL_NAME,http://id.loc.gov/authorities/n82011496,In Conversation: Anthony Fauci and Mark Thompson,2020-11-12,1,True,Anthony S. Fauci
True,"Thompson, Mark John, 1957-","Thompson, Mark John, 1957-",n2016030586,PERSONAL_NAME,http://id.loc.gov/authorities/n2016030586,In Conversation: Anthony Fauci and Mark Thompson,2020-11-12,1,True,Mark J. Thompson
True,Communication in public health,Communication in public health,sh2004007172,TOPIC,http://id.loc.gov/authorities/sh2004007172,In Conversation: Anthony Fauci and Mark Thompson,2020-11-12,1,False,
True,"Sheldrake, Merlin","Sheldrake, Merlin",n2019066367,PERSONAL_NAME,http://id.loc.gov/authorities/n2019066367,"Entangled Lives: Fungi, Ecology, and Us",2020-11-12,2,True,
True,Mycology,Mycology,sh85089188,TOPIC,http://id.loc.gov/authorities/sh85089188,"Entangled Lives: Fungi, Ecology, and Us",2020-11-12,2,False,
True,"Ovenden, Richard","Ovenden, Richard",nb97014665,PERSONAL_NAME,http://id.loc.gov/authorities/nb97014665,Erasing the Past: The Deliberate Destruction of Knowledge from Ancient Assyria to the Digital Age,2020-11-12,3,True,Richard Ovenden
True,Cultural property--Destruction and pillage,Cultural property--Destruction and pillage,sh2014002183,TOPIC,http://id.loc.gov/authorities/sh2014002183,Erasing the Past: The Deliberate Destruction of Knowledge from Ancient Assyria to the Digital Age,2020-11-12,3,False,
True,Libraries--Destruction and pillage,Libraries--Destruction and pillage,sh2003004425,TOPIC,http://id.loc.gov/authorities/sh2003004425,Erasing the Past: The Deliberate Destruction of Knowledge from Ancient Assyria to the Digital Age,2020-11-12,3,False,
True,"Nelson, Alondra","Nelson, Alondra",n2001001131,PERSONAL_NAME,http://id.loc.gov/authorities/n2001001131,Society After Pandemic,2020-11-12,4,True,Alondra Nelson
False,COVID-19 (Disease)--Social aspects--United States,,,TOPIC,,Society After Pandemic,2020-11-12,4,False,
True,"Moss, David A., 1964-","Moss, David A., 1964-",n95079816,PERSONAL_NAME,http://id.loc.gov/authorities/n95079816,Revitalizing Civic Education: One Discussion at a Time,2020-11-12,5,True,David Moss
True,Democracy and education--United States,Democracy and education--United States,sh2009123117,TOPIC,http://id.loc.gov/authorities/sh2009123117,Revitalizing Civic Education: One Discussion at a Time,2020-11-12,5,False,
True,"Denk, Jeremy","Denk, Jeremy",no95002516,PERSONAL_NAME,http://id.loc.gov/authorities/no95002516,Concert from Benjamin Franklin Hall,2020-11-12,6,True,Jeremy Denk
False,Awards--Societies,"Washington Theatre Awards Society (Washington, D.C.)",n2011008907,TOPIC,http://id.loc.gov/authorities/n2011008907,Presentation of Society Awards and Prizes ,2020-11-13,1,False,
True,"Allen, Danielle","Allen, Danielle",no2024063604,PERSONAL_NAME,http://id.loc.gov/authorities/no2024063604,In Conversation: Danielle Allen and David Rubenstein,2020-11-13,2,True,Danielle Allen
True,"Allen, Danielle","Allen, Danielle",no2024063604,PERSONAL_NAME,http://id.loc.gov/authorities/no2024063604,In Conversation: Danielle Allen and David Rubenstein,2020-11-13,2,True,Danielle Allen
True,"Rubenstein, David M.","Rubenstein, David M.",no2009083600,PERSONAL_NAME,http://id.loc.gov/authorities/no2009083600,In Conversation: Danielle Allen and David Rubenstein,2020-11-13,2,True,David M. Rubenstein
True,"Rubenstein, David M.","Rubenstein, David M.",no2009083600,PERSONAL_NAME,http://id.loc.gov/authorities/no2009083600,In Conversation: Danielle Allen and David Rubenstein,2020-11-13,2,True,David M. Rubenstein
True,COVID-19 (Disease),COVID-19 (Disease),sh2020000570,TOPIC,http://id.loc.gov/authorities/sh2020000570,In Conversation: Danielle Allen and David Rubenstein,2020-11-13,2,False,
True,COVID-19 (Disease),COVID-19 (Disease),sh2020000570,TOPIC,http://id.loc.gov/authorities/sh2020000570,In Conversation: Danielle Allen and David Rubenstein,2020-11-13,2,False,
True,Civics,Civics,n2003096283,TOPIC,http://id.loc.gov/authorities/n2003096283,In Conversation: Danielle Allen and David Rubenstein,2020-11-13,2,False,
True,Civics,Civics,n2003096283,TOPIC,http://id.loc.gov/authorities/n2003096283,In Conversation: Danielle Allen and David Rubenstein,2020-11-13,2,False,
True,"Tharp, Twyla","Tharp, Twyla",n81071740,PERSONAL_NAME,http://id.loc.gov/authorities/n81071740,Keep It Moving: Staying the Course,2020-11-13,3,True,Twyla Tharp
True,Choreographers--United States--Biography,Choreographers--United States--Biography,sh2008100620,TOPIC,http://id.loc.gov/authorities/sh2008100620,Keep It Moving: Staying the Course,2020-11-13,3,False,
