display_date,start_date,end_date,display_notes,admin_notes,url,youtube_playlist,diglib_collection_node,program_node,program_viewer
April 1976,,,,,,,528484,528485,IIIF
November 1976,,,,,,,,,
April 1977,,,,,,,,,
November 1977,,,,,,,528486,528487,IIIF
April 1978,,,,,,,,,
November 1978,,,,,,,528488,528489,IIIF
April 1979,,,,,,,,,
November 1979,,,,,,,528490,528491,IIIF
April 1980,,,,,,,,,
November 1980,,,,,,,,,
April 1981,,,,,,,528494,528495,IIIF
November 1981,,,,,,,528496,528497,IIIF
April 1982,,,,,,,528500,528501,IIIF
November 1982,,,,,,,528502,528503,IIIF
April 1983,,,,,,,528504,528505,IIIF
November 1983,,,,,,,528506,528507,IIIF
April 1984,,,,,,,528508,528509,IIIF
November 1984,,,,,,,528510,528511,IIIF
April 1985,,,,,,,528512,528513,IIIF
November 1985,,,,,,,528514,528515,IIIF
April 1986,,,,,,,528516,528517,IIIF
November 1986,,,,,,,528518,528519,IIIF
April 1987,,,,,,,528520,528521,IIIF
November 1987,,,,,,,528522,528523,IIIF
April 1988,,,,,,,528524,528525,IIIF
November 1988,,,,,,,528526,528527,IIIF
April 1989,,,,,,,528528,528529,IIIF
November 1989,,,,,,,528530,528531,IIIF
April 1990,,,,,,,528532,528533,IIIF
November 1990,,,,,,,528534,528535,IIIF
April 1991,,,,,,,528536,528537,IIIF
November 1991,,,,,,,528538,528539,IIIF
April 1992,,,,,,,528540,528541,IIIF
November 1992,,,,,,,528542,528543,IIIF
April 1993,,,,,,,528544,528545,IIIF
November 1993,,,,,,,528546,528547,IIIF
April 1994,,,,,,,528548,528549,IIIF
November 1994,,,,,,,528550,528551,IIIF
April 1995,,,,,,,528552,528553,IIIF
November 1995,,,,,,,528554,528555,IIIF
April 1996,,,,,,,528556,528557,IIIF
May 1996,,,,American Philosophical Society and Accademia nazionale dei Lincei joint meeting,,,528558,528559,IIIF
November 1996,,,,,,,528560,528561,IIIF
April 1997,,,,,,,528562,528563,IIIF
November 1997,,,,,,,528564,528565,IIIF
April 1998,,,,,,,528566,528567,IIIF
November 1998,,,,,,,528568,528569,IIIF
April 1999,,,,,,,528570,528571,IIIF
November 1999,,,,,,,528572,528573,IIIF
April 2000,,,,,,,528574,528575,IIIF
November 2000,,,,,,,528576,528577,IIIF
April 2001,,,,"Joint meeting between the American Philosophical Society, Royal Society, and British Academy",,,528578,528579,IIIF
November 2001,,,,,,,528580,528581,IIIF
April 2002,,,,,,,528582,528583,IIIF
November 2002,,,,,,,528584,528585,IIIF
April 2003,,,,,,,528586,528587,IIIF
November 2003,2003-11-14,2003-11-15,,,https://www.amphilsoc.org/members/meetings/november-2003,,316071,528588,IIIF
April 2004,2004-04-22,2004-04-24,,,https://www.amphilsoc.org/members/meetings/april-2004,,316066,528589,IIIF
November 2004,2004-11-11,2004-11-13,,,https://www.amphilsoc.org/members/meetings/november-2004,,316053,528590,IIIF
April 2005,2005-04-28,2005-04-30,,,https://www.amphilsoc.org/members/meetings/april-2005,,316070,528591,IIIF
November 2005,2005-11-10,2005-11-12,,,https://www.amphilsoc.org/members/meetings/november-2005,,316068,528592,IIIF
April 2006,2006-04-27,2006-04-29,,,https://www.amphilsoc.org/members/meetings/april-2006,,316051,528593,IIIF
November 2006,2006-11-09,2006-11-11,"The November 2006 meeting was held in San Francisco, CA.",Looks like this one wasn't recorded?,https://www.amphilsoc.org/members/meetings/november-2006,,,,
April 2007,2007-04-26,2007-04-28,,,https://www.amphilsoc.org/members/meetings/april-2007,,316047,528594,IIIF
November 2007,2007-11-08,2007-11-10,,,https://www.amphilsoc.org/members/meetings/november-2007,,316067,528595,IIIF
April 2008,2008-4-24,2008-4-26,,Missing from website,,,316073,528596,IIIF
November 2008,2008-11-13,2008-11-15,,,https://www.amphilsoc.org/members/meetings/november-2008,,316059,528597,IIIF
