headings_match,orig_header,aLabel,vLabel,lcsh_type,token,rdftypes,talk_title,talk_time,url,is_speaker,display_name
True,"Sheshinski, Eytan","Sheshinski, Eytan",,PersonalName,n92099890,PersonalName|SimpleType|Name|Authority,Policy Implications on Bounded Rationality,2003-11-14T11:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Sheshinski%2C%20Eytan,True,Eytan Sheshinski
True,"Michalowski, Piotr, 1948-","Michalowski, Piotr, 1948-",,PersonalName,n82080661,PersonalName|SimpleType|Name|Authority,Ancient Mesopotamia: An Antique Land and a Ravaged Past,2003-11-14T12:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Michalowski%2C%20Piotr%2C%201948-,True,Piotr Michalowski
False,"Adams, Robert McCormick, 1926-","Adams, Robert McC. (Robert McCormick), 1926-2018","Adams, Robert McCormick, 1926-2018",PersonalName,n80060315,PersonalName|SimpleType|Name|Authority,Contexts of Iraqi Looting,2003-11-14T13:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Adams%2C%20Robert%20McCormick%2C%201926-,True,Robert McCormick Adams
False,"Shaw, Gwendolyn DuBois","Shaw, Gwendolyn DuBois, 1968-",,PersonalName,n2004007524,PersonalName|SimpleType|Name|Authority,Portraiture and the Development of African American Identity in the 19th Century,2003-11-14T14:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Shaw%2C%20Gwendolyn%20DuBois,True,Gwendolyn DuBois Shaw
True,"Fine, Ruth, 1941-","Fine, Ruth, 1941-",,PersonalName,n81018660,PersonalName|SimpleType|Name|Authority,Expanding the Mainstream: Romare Bearden Revisited,2003-11-14T15:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Fine%2C%20Ruth%2C%201941-,True,Ruth Fine
True,"Vacanti, Joseph","Vacanti, Joseph",,PersonalName,nr00025693,PersonalName|SimpleType|Name|Authority,Regenerative Medicine and Tissue Engineering,2003-11-15T09:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Vacanti%2C%20Joseph,True,Joseph P. Vacanti
True,"Ridgway, Brunilde Sismondo, 1929-","Ridgway, Brunilde Sismondo, 1929-",,PersonalName,n79134904,PersonalName|SimpleType|Name|Authority,The Study of Greek Sculpture in the 21st Century,2003-11-15T10:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Ridgway%2C%20Brunilde%20Sismondo%2C%201929-,True,Brunilde S. Ridgway
True,"Collins, Jeffrey Laird","Collins, Jeffrey Laird",,PersonalName,nr97008806,PersonalName|SimpleType|Name|Authority,Megalithomania: Obelisks and Empire in Papal Rome,2003-11-15T11:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Collins%2C%20Jeffrey%20Laird,True,Jeffrey Collins
False,"Coffin, John Miller, 1944-",,,PersonalName,,,Evolution of Retroviruses: Fossils in our DNA,2003-11-15T12:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Coffin%2C%20John%20Miller%2C%201944-,True,John M. Coffin
False,"Weiss, Robin A.",,,PersonalName,,,"Circe, Cassandra and Trojan Pigs: Xenotransplantation",2003-11-15T13:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Weiss%2C%20Robin%20A.,True,Robin A. Weiss
True,"Villarreal, Luis P.","Villarreal, Luis P.",,PersonalName,n88185161,PersonalName|SimpleType|Name|Authority,Can Persisting Viruses Drive Human Evolution?,2003-11-15T14:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Villarreal%2C%20Luis%20P.,True,Luis P. Villarreal
False,"Bear, Greg, 1951-","Bear, Greg, 1951-2022",,PersonalName,n82118842,PersonalName|SimpleType|Name|Authority,When Genes Go Walkabout: Viruses in the Blueprint,2003-11-15T15:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Bear%2C%20Greg%2C%201951-,True,Greg Bear
False,"Grosz, Barbara Jean, 1948-",,,PersonalName,,,Beyond Mice and Menus,2003-11-14T09:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Grosz%2C%20Barbara%20Jean%2C%201948-,True,Barbara J. Grosz
True,"Lee, Ruby B.","Lee, Ruby B.",,PersonalName,n87821873,PersonalName|SimpleType|Name|Authority,Architecture for Cyber Security,2003-11-14T10:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Lee%2C%20Ruby%20B.,True,Ruby B. Lee
False,"McClellan, James E. (James Edward), 1946-",,,PersonalName,,,"Accident, Luck and Serendipity in Historical Research",2003-11-14T11:30:00,https://id.loc.gov/authorities/names/suggest2/?q=McClellan%2C%20James%20E.%20%28James%20Edward%29%2C%201946-,True,James E. McClellan III
True,"Rudwick, M. J. S.","Rudwick, M. J. S.",,PersonalName,n80014396,PersonalName|SimpleType|Name|Authority,Picturing Nature in the Age of Enlightenment,2004-04-22T9:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Rudwick%2C%20M.%20J.%20S.,True,Martin Rudwick
True,"Nichols, Ashton, 1953-","Nichols, Ashton, 1953-",,PersonalName,n85162401,PersonalName|SimpleType|Name|Authority,Roaring Alligators and Burning Tygers: Poetry and Science from William Bartram to Charles Darwin,2004-04-22T10:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Nichols%2C%20Ashton%2C%201953-,True,Ashton Nichols
True,"Schiebinger, Londa L.","Schiebinger, Londa L.",,PersonalName,n88637871,PersonalName|SimpleType|Name|Authority,Agnotology and Exotic Abortifacients: The Cultural Production of Ignorance in Eighteenth-Century Science,2004-04-22T11:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Schiebinger%2C%20Londa%20L.,True,Londa Schiebinger
False,"Wilson, Edward Osborne, 1929-",,,PersonalName,,,"The Linnaean Enterprise: Past, Present and Future",2004-04-22T12:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Wilson%2C%20Edward%20Osborne%2C%201929-,True,Edward O. Wilson
True,"Katz, Stanley Nider","Katz, Stanley Nider",,PersonalName,n50044666,PersonalName|SimpleType|Name|Authority,"What Does it Mean to Say that Philanthropy is ""Effective""",2004-04-23T9:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Katz%2C%20Stanley%20Nider,True,Stanley N. Katz
False,"Brest, Paul A, 1940-",,,PersonalName,,,Taking the Heart Out of Philanthropy,2004-04-23T10:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Brest%2C%20Paul%20A%2C%201940-,True,Paul Brest
True,"Pollak, Louis H.","Pollak, Louis H.",,PersonalName,n97116766,PersonalName|SimpleType|Name|Authority,Introduction,2004-04-23T11:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Pollak%2C%20Louis%20H.,True,Louis H. Pollak
True,"Coleman, William T. (William Thaddeus), 1920-2017","Coleman, William T. (William Thaddeus), 1920-2017",,PersonalName,n94072646,PersonalName|SimpleType|Name|Authority,"Truths Which, Fortunately, Were Self-Evident",2004-04-23T12:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Coleman%2C%20William%20T.%20%28William%20Thaddeus%29%2C%201920-2017,True,"William T. Coleman, Jr."
True,"Lester, Anthony, 1936-","Lester, Anthony, 1936-2020","Lester, Anthony, 1936-",PersonalName,nb99074103,PersonalName|SimpleType|Name|Authority,Brown v. Board of Education Overseas,2004-04-23T13:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Lester%2C%20Anthony%2C%201936-,True,Anthony Lester
True,"Weissman, Irving L.","Weissman, Irving L.",,PersonalName,n79078566,PersonalName|SimpleType|Name|Authority,"Cell Science, Stem Cell Plasticity, and Stem Cell Politics",2004-04-23T14:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Weissman%2C%20Irving%20L.,True,Irving Weissman
True,"Vita-Finzi, Claudio","Vita-Finzi, Claudio",,PersonalName,n50013483,PersonalName|SimpleType|Name|Authority,The Inconstant Sun,2004-04-23T15:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Vita-Finzi%2C%20Claudio,True,Claudio Vita-Finzi
True,"Heaney, Seamus, 1939-2013","Heaney, Seamus, 1939-2013",,PersonalName,n79099140,PersonalName|SimpleType|Name|Authority,Title Deeds: On Translating a Classic,2004-04-23T16:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Heaney%2C%20Seamus%2C%201939-2013,True,Seamus Heaney
True,"Sullivan, Kathleen M., 1955-","Sullivan, Kathleen M., 1955-",,PersonalName,n97025747,PersonalName|SimpleType|Name|Authority,Privacy and the Constitution,2004-04-24T9:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Sullivan%2C%20Kathleen%20M.%2C%201955-,True,Kathleen Sullivan
True,"Lessig, Lawrence","Lessig, Lawrence",,PersonalName,no99044097,PersonalName|SimpleType|Name|Authority,The Code of Privacy,2004-04-24T10:00:00,https://id.loc.gov/authorities/names/suggest2/?q=Lessig%2C%20Lawrence,True,Lawrence Lessig
