row,meeting,date,order_in_day,symposium,title,alternative_title,lecture_additional_info,file,extent,speaker_lcsh,speaker_display_name,speaker_position,speaker_institution,speaker_position_2,speaker_institution_2,speaker_2_lcsh,speaker_2_display_name,speaker_2_position,speaker_2_institution,speaker_2_position_2,speaker_2_institution_2,presented_by,abstract,diglib_description,admin_category,aps_departments,academic_disciplines,lcsh_topic,lcsh_geographic,lcsh_temporal,lcsh_name_personal,lcsh_name_corporate,doi,diglib_url,pid,node,diglib_url_old,service_file,youtube_url,proceedings_title,proceedings_url,display_notes,admin_notes,add_speakers,check_physical_program,check_video
572,November 2020,2020-11-11,1,,A Failure to Heal: Race and Politics in the United States,,,2020November_01LawrenceDBobo.mp4,1:10:13,"Bobo, Lawrence",Lawrence D. Bobo,Dean of Social Sciences,Harvard University ,W.E.B Du Bois Professor of the Social Sciences,,,,,,,,,Lawrence D. Bobo speaks about the historical and ongoing connections between race and the political system of the United States,,LECTURE,,Political Science|History,Race--Political aspects--United States,,,,,,,,553040,,,https://www.youtube.com/watch?v=49ip-Xa0U58,,,,,,,
573,November 2020,2020-11-12,1,,In Conversation: Anthony Fauci and Mark Thompson,,Keynote Lecture ,2020November_02AnthonySFauci-MarkJThompson.mp4,0:54:57,"Fauci, Anthony S., 1940-",Anthony S. Fauci,Director,National Institute of Allergy and Infectious Diseases,,,"Thompson, Mark John, 1957-",Mark J. Thompson,Former Director-General,The British Broadcasting Corporation,Former President and Chief Executive Officer,The New York Times Company,,"Anthony Fauci joins Mark Thompson in conversation about COVID-19, the state of vaccine development, and media's role in science communication. ",,CONVERSATION,,"Public Affairs, Public Policy and Public Administration",Communication in public health,,,,,,,,553041,,,https://www.youtube.com/watch?v=Czw-pdw6ixM,,,,,,,
574,November 2020,2020-11-12,2,,"Entangled Lives: Fungi, Ecology, and Us",,,2020November_03MerlinSheldrake.mp4,0:33:59,"Sheldrake, Merlin",,Independent Scholar,,,,,,,,,,,"Biologist Merlin Sheldrake presents the research from his book Entangled Life: How Fungi Make Our Worlds, Change Our Minds, & Shape Our Futures.",,LECTURE,,Biology,Mycology,,,,,,,,553042,,,https://www.youtube.com/watch?v=5C3T2aMOy4s,,,,,,,
575,November 2020,2020-11-12,3,,Erasing the Past: The Deliberate Destruction of Knowledge from Ancient Assyria to the Digital Age,,,2020November_04RichardOvenden.mp4,0:35:56,"Ovenden, Richard",Richard Ovenden,Bodley's Librarian,University of Oxford,,,,,,,,,,"Richard Ovenden presents on the destruction and manipulation of knowledge throughout history, which he then connects to present issues of the preservation of digital knowledge in the 21st century. ",,LECTURE,,History,Cultural property--Destruction and pillage|Libraries--Destruction and pillage,,,,,,,,553043,,,https://www.youtube.com/watch?v=21_VRXKXecE,,,,,,,
576,November 2020,2020-11-12,4,,Society After Pandemic,,,2020November_05AlondraNelson.mp4,0:31:08,"Nelson, Alondra",Alondra Nelson,President,Social Science Research Council,Harold F. Linder Professor,Institute of Advanced Study,,,,,,,,"In her talk, Alondra Nelson speaks on how the pandemic is refocusing aspects of society and how to move forward. This talk focuses on the idea of expertise and of the essential worker ",,LECTURE,,Sociology,COVID-19 (Disease)--Social aspects--United States,,,,,,,,553044,,,https://youtu.be/yIvNRJn6kZw,,,,,,,
577,November 2020,2020-11-12,5,,Revitalizing Civic Education: One Discussion at a Time,,,2020November_06DavidMoss.mp4,0:33:41,"Moss, David A., 1964-",David Moss,Paul Whiton Cherington Professor,Harvard Business School,,,,,,,,,,David Moss talks about his work in understanding the ebbs and flows of democracy and the course he developed aim at civic education through discussion ,,LECTURE,,History|Education ,Democracy and education--United States,,,,,,,,553045,,,https://youtu.be/zEIDMn6WJJ4,,,,,,,
578,November 2020,2020-11-12,6,,Concert from Benjamin Franklin Hall,,,2020November_07Concert-JeremyDenk.mp4,1:42:16,"Denk, Jeremy",Jeremy Denk,Pianist,,,,,,,,,,,Jeremy Denk performs works by Clara Schumann and Missy Mazzoli at the November 2020 APS General Meeting. ,,CONCERT,,,,,,,,,,,553046,,,https://youtu.be/sB41xNDnTJs,,,,,,,
579,November 2020,2020-11-13,1,,Presentation of Society Awards and Prizes ,,,2020November_08Awards.mp4,0:20:13,,,,,,,,,,,,,,,,AWARDS,,,Awards--Societies,,,,,,,,553047,,,https://youtu.be/G8ydWGYcoN8,,,,,,,
580,November 2020,2020-11-13,2,,In Conversation: Danielle Allen and David Rubenstein,,,2020November_09DavidMRubenstein-DanielleAllen.mp4,0:24:27,"Allen, Danielle",Danielle Allen,James Bryant Conant University Professor,Harvard University,Director,Edmond J. Safra Center for Ethics,"Rubenstein, David M.",David M. Rubenstein,Co-Founder and Co-Executive Chair,The Carlyle Group,Chair,The Kennedy Center for Performing Arts,,"In this conversation, David M. Rubenstein talks to Danielle Allen about her life and work, her thoughts on the election and its impact of democaracy, Americna politics and the COVID-19 Pandemic",,CONVERSATION,,Sociology,COVID-19 (Disease)|Civics,,,,,,,,553048,,,https://youtu.be/dKZhqh157d00,,,,,,,
581,November 2020,2020-11-13,2,,In Conversation: Danielle Allen and David Rubenstein,,,2020November_09DavidMRubenstein-DanielleAllen.mp4,0:24:27,"Allen, Danielle",Danielle Allen,James Bryant Conant University Professor,Harvard University,Director,Edmond J. Safra Center for Ethics,"Rubenstein, David M.",David M. Rubenstein,Chair,The Smithsonian Institution,,,,"In this conversation, David M. Rubenstein talks to Danielle Allen about her life and work, her thoughts on the election and its impact of democaracy, Americna politics and the COVID-19 Pandemic",,CONVERSATION,,Sociology,COVID-19 (Disease)|Civics,,,,,,,,553048,,,https://youtu.be/dKZhqh157d00,,,,,,,
